Ticker,Company,Date,Time,Quarter Ending, Market Cap 
RADICO,Radico Khaitan Limited,22-Jan-26,,Dec-25," 4,460,010,000 "
RALLIS,Rallis India Limited,20-Jan-26,,Dec-25," 583,410,000 "
RBCA.A,"Republic Bancorp, Inc.",23-Jan-26,,Dec-25," 1,451,240,000 "
RESI,Residential Secure Income plc,20-Jan-26,,Sep-25," 140,200,000 "
RLI,RLI Corp.,21-Jan-26,After Hours,Dec-25," 5,732,520,000 "
RMBI,"Richmond Mutual Bancorporation, Inc.",22-Jan-26,,Dec-25," 135,590,000 "
RPGLIFE,RPG Life Sciences Limited,22-Jan-26,,Dec-25," 385,500,000 "
SABK,"South Atlantic Bancshares, Inc.",22-Jan-26,,Dec-25," 149,700,000 "
SAND,Sandvik AB (publ),21-Jan-26,,Dec-25," 44,480,180,000 "
SASKEN,Sasken Technologies Limited,22-Jan-26,,Dec-25," 205,340,000 "
SBFC,SBFC Finance Limited,24-Jan-26,,Dec-25," 1,283,120,000 "
SCB,SCB X Public Company Limited,20-Jan-26,,Dec-25," 13,228,850,000 "
SCHW,The Charles Schwab Corporation,21-Jan-26,Pre Market,Dec-25," 181,567,400,000 "
SFBS,"ServisFirst Bancshares, Inc.",20-Jan-26,After Hours,Dec-25," 4,430,250,000 "
SFNC,Simmons First National Corporation,20-Jan-26,After Hours,Dec-25," 2,840,810,000 "
SFST,"Southern First Bancshares, Inc.",22-Jan-26,,Dec-25," 442,300,000 "
SHANTIGEAR,Shanthi Gears Limited,22-Jan-26,,Dec-25," 401,120,000 "
SHARDACROP,Sharda Cropchem Limited,22-Jan-26,,Dec-25," 793,970,000 "
SHOPERSTOP,Shoppers Stop Limited,20-Jan-26,,Dec-25," 537,700,000 "
SIGHT,GenSight Biologics S.A.,21-Jan-26,,Dec-25," 21,370,000 "
SIGL,"Signal Advance, Inc.",21-Jan-26,,Dec-25," 14,840,000 "
SLB,SLB N.V.,23-Jan-26,,Dec-25," 73,495,540,000 "
SLM,SLM Corporation,22-Jan-26,,Dec-25," 5,632,290,000 "
SLRK,"Solera National Bancorp, Inc.",23-Jan-26,,Dec-25," 59,770,000 "
SMBC,"Southern Missouri Bancorp, Inc.",21-Jan-26,,Dec-25," 676,140,000 "
SMBK,"SmartFinancial, Inc.",20-Jan-26,After Hours,Dec-25," 630,210,000 "
SOLARA,Solara Active Pharma Sciences Limited,22-Jan-26,,Dec-25," 272,780,000 "
