Ticker,Company,Date,Time,Quarter Ending,  Market Cap (bil$) 
AMP,"Ameriprise Financial, Inc.",29-Jan-26,,25-Dec,"46,137"
ITC,ITC Limited,29-Jan-26,,25-Dec,"44,222"
SEB A,Skandinaviska Enskilda Banken AB (publ),29-Jan-26,,25-Dec,"43,115"
SWED A,Swedbank AB (publ),29-Jan-26,,25-Dec,"42,398"
RMD,ResMed Inc.,29-Jan-26,After Hours,25-Dec,"37,520"
NOKIA,Nokia Oyj,29-Jan-26,,25-Dec,"37,047"
GIVN,Givaudan SA,29-Jan-26,,25-Dec,"36,590"
HIG,"The Hartford Insurance Group, Inc.",29-Jan-26,After Hours,25-Dec,"36,110"
HM B,H & M Hennes & Mauritz AB (publ),29-Jan-26,,25-Nov,"30,760"
ADANIPOWER,Adani Power Limited,29-Jan-26,,25-Dec,"30,313"
LPLA,LPL Financial Holdings Inc.,29-Jan-26,After Hours,25-Dec,"30,303"
4661,"Oriental Land Co., Ltd.",29-Jan-26,,25-Dec,"29,263"
DOV,Dover Corporation,29-Jan-26,Pre Market,25-Dec,"28,337"
TSCO,Tractor Supply Company,29-Jan-26,Pre Market,25-Dec,"26,954"
7751,Canon Inc.,29-Jan-26,,25-Dec,"26,307"
PHM,"PulteGroup, Inc.",29-Jan-26,Pre Market,25-Dec,"25,384"
STMPA,STMicroelectronics N.V.,29-Jan-26,Pre Market,25-Dec,"25,062"
IP,International Paper Company,29-Jan-26,Pre Market,25-Dec,"22,890"
4307,"Nomura Research Institute, Ltd.",29-Jan-26,,25-Dec,"21,750"
9766,Konami Group Corporation,29-Jan-26,,25-Dec,"20,158"
RCI.B,Rogers Communications Inc.,29-Jan-26,,25-Dec,"18,892"
SNDK,Sandisk Corporation,29-Jan-26,After Hours,25-Dec,"18,723"
WY,Weyerhaeuser Company,29-Jan-26,After Hours,25-Dec,"18,124"
DOW,Dow Inc.,29-Jan-26,Pre Market,25-Dec,"16,885"
DECK,Deckers Outdoor Corporation,29-Jan-26,After Hours,25-Dec,"15,287"
HOLX,"Hologic, Inc.",29-Jan-26,After Hours,25-Dec,"15,173"
TELIA,Telia Company AB (publ),29-Jan-26,,25-Dec,"14,882"
A051910,"LG Chem, Ltd.",29-Jan-26,,25-Dec,"14,717"
A005490,POSCO Holdings Inc.,29-Jan-26,,25-Dec,"14,691"
GJF,Gjensidige Forsikring ASA,29-Jan-26,,25-Dec,"14,499"
GARAN,Turkiye Garanti Bankasi A.S.,29-Jan-26,,25-Dec,"13,673"
ERF,Eurofins Scientific SE,29-Jan-26,,25-Dec,"13,111"
CANBK,Canara Bank,29-Jan-26,,25-Dec,"12,863"
DWS,DWS Group GmbH & Co. KGaA,29-Jan-26,,25-Dec,"12,578"
CRS,Carpenter Technology Corporation,29-Jan-26,Pre Market,25-Dec,"12,339"
DIXON,Dixon Technologies (India) Limited,29-Jan-26,,25-Dec,"11,309"
RECLTD,REC Limited,29-Jan-26,,25-Dec,"11,281"
8421,Shinkin Central Bank,29-Jan-26,,25-Dec,"11,183"
6504,"Fuji Electric Co., Ltd.",29-Jan-26,,25-Dec,"10,234"
9501,"Tokyo Electric Power Company Holdings, Incorporated",29-Jan-26,,25-Dec,"9,110"
INDT,Indutrade AB (publ),29-Jan-26,,25-Dec,"9,065"
APPF,"AppFolio, Inc.",29-Jan-26,After Hours,25-Dec,"8,958"
1944,Kinden Corporation,29-Jan-26,,25-Dec,"8,847"
TREL B,Trelleborg AB (publ),29-Jan-26,,25-Dec,"8,669"
6586,Makita Corporation,29-Jan-26,,25-Dec,"8,552"
OSK,Oshkosh Corporation,29-Jan-26,Pre Market,25-Dec,"8,410"
PAYTM,One97 Communications Limited,29-Jan-26,,25-Dec,"8,402"
PRESTIGE,Prestige Estates Projects Limited,29-Jan-26,,25-Dec,"8,273"
CFR,"Cullen/Frost Bankers, Inc.",29-Jan-26,Pre Market,25-Dec,"8,144"
3443,Global Unichip Corp.,29-Jan-26,,25-Dec,"8,123"
